2019-05-14 22:39:15 | DEBUG | Base_Logging | conditional_write | Unable to find recommended prices in top wear page - carousel
2019-05-14 22:39:16 | INFO | Base_Logging | log_result | PASS: Verified the products prices coming in the request are correctly populated in the carousel
2019-05-14 22:39:16 | INFO | Base_Logging | ui_top_wear_page | Script duration: 39 seconds

2019-05-14 22:39:16 | DEBUG | Base_Logging | conditional_write | Unable to find links in top wear page - carousel
2019-05-14 22:39:17 | INFO | Base_Logging | log_result | PASS: Verified the products links coming in the request are correctly populated in the carousel
2019-05-14 22:39:17 | INFO | Base_Logging | ui_top_wear_page | Script duration: 40 seconds

2019-05-14 22:39:21 | DEBUG | Base_Logging | conditional_write | Found links in top wear page - carousel
2019-05-14 22:39:25 | DEBUG | Base_Logging | conditional_write | Unable to find recommended names in top wear page - carousel
2019-05-14 22:39:26 | INFO | Base_Logging | log_result | PASS: Verified the products Names coming in the request are correctly populated in the carousel
2019-05-14 22:39:26 | INFO | Base_Logging | ui_top_wear_page | Script duration: 49 seconds

2019-05-14 22:39:26 | DEBUG | Base_Logging | conditional_write | Unable to find recommended prices in top wear page - carousel
2019-05-14 22:39:26 | INFO | Base_Logging | log_result | PASS: Verified the products prices coming in the request are correctly populated in the carousel
2019-05-14 22:39:26 | INFO | Base_Logging | ui_top_wear_page | Script duration: 49 seconds

2019-05-14 22:39:26 | DEBUG | Base_Logging | conditional_write | Unable to find links in top wear page - carousel
2019-05-14 22:39:27 | INFO | Base_Logging | log_result | PASS: Verified the product's link coming in the request are correctly populated in the carousel
2019-05-14 22:39:27 | INFO | Base_Logging | ui_top_wear_page | Script duration: 50 seconds

2019-05-14 22:39:31 | DEBUG | Base_Logging | conditional_write | Clicked on productlinks in top wear page - carousel
2019-05-14 22:39:32 | DEBUG | Base_Logging | conditional_write | Automation switched to the browser window: None
2019-05-14 22:39:33 | INFO | Base_Logging | log_result | PASS: Verified after clicking on the recommended product populated in the carousel
2019-05-14 22:39:33 | INFO | Base_Logging | ui_top_wear_page | Script duration: 56 seconds

2019-05-14 22:39:35 | INFO | Base_Logging | write_test_summary | 

************************
--------RESULT--------
Total number of checks=12
2019-05-14 22:39:35 | INFO | Base_Logging | write_test_summary | Total number of checks passed=12
----------------------
************************


2019-05-14 22:39:35 | INFO | Base_Logging | write_test_summary | Total number of mini-checks=14
2019-05-14 22:39:35 | INFO | Base_Logging | write_test_summary | Total number of mini-checks passed=5
2019-05-14 22:39:35 | INFO | Base_Logging | write_test_summary | ************************
2019-05-14 22:44:16 | DEBUG | Base_Logging | conditional_write | Verified Style Element is present in the top wear page
2019-05-14 22:44:17 | INFO | Base_Logging | log_result | PASS: Verified Style Element is present in the top wear page
2019-05-14 22:44:17 | INFO | Base_Logging | ui_top_wear_page | Script duration: 20 seconds

2019-05-14 22:44:26 | DEBUG | Base_Logging | conditional_write | Clicked on Style Element in top wear page
2019-05-14 22:44:27 | INFO | Base_Logging | log_result | PASS: Clicked on Style Element in top wear page
2019-05-14 22:44:27 | INFO | Base_Logging | ui_top_wear_page | Script duration: 30 seconds

2019-05-14 22:44:29 | DEBUG | Base_Logging | conditional_write | Unable to find request that matches the condition
2019-05-14 22:44:29 | INFO | Base_Logging | log_result | PASS: find the request made to the get_product_meta
2019-05-14 22:44:29 | INFO | Base_Logging | ui_top_wear_page | Script duration: 32 seconds

2019-05-14 22:44:29 | INFO | Base_Logging | log_result | PASS: find the request method made to the get_product_meta
2019-05-14 22:44:29 | INFO | Base_Logging | ui_top_wear_page | Script duration: 32 seconds

2019-05-14 22:44:29 | INFO | Base_Logging | log_result | PASS: find the request hdeader host to the get_product_meta
2019-05-14 22:44:29 | INFO | Base_Logging | ui_top_wear_page | Script duration: 32 seconds

2019-05-14 22:44:31 | DEBUG | Base_Logging | conditional_write | Unable to get product id on Style Element in top wear page
2019-05-14 22:44:32 | DEBUG | Base_Logging | conditional_write | Unable to find client id in top wear page
2019-05-14 22:44:36 | DEBUG | Base_Logging | conditional_write | Unable to find recommended names in top wear page - carousel
2019-05-14 22:44:36 | INFO | Base_Logging | log_result | PASS: Verified the products names coming in the request are correctly populated in the carousel
2019-05-14 22:44:36 | INFO | Base_Logging | ui_top_wear_page | Script duration: 39 seconds

2019-05-14 22:44:37 | DEBUG | Base_Logging | conditional_write | Unable to find recommended prices in top wear page - carousel
2019-05-14 22:44:37 | INFO | Base_Logging | log_result | PASS: Verified the products prices coming in the request are correctly populated in the carousel
2019-05-14 22:44:37 | INFO | Base_Logging | ui_top_wear_page | Script duration: 40 seconds

2019-05-14 22:44:37 | DEBUG | Base_Logging | conditional_write | Unable to find links in top wear page - carousel
2019-05-14 22:44:38 | INFO | Base_Logging | log_result | PASS: Verified the products links coming in the request are correctly populated in the carousel
2019-05-14 22:44:38 | INFO | Base_Logging | ui_top_wear_page | Script duration: 41 seconds

2019-05-14 22:44:43 | DEBUG | Base_Logging | conditional_write | Found links in top wear page - carousel
2019-05-14 22:44:46 | DEBUG | Base_Logging | conditional_write | Unable to find recommended names in top wear page - carousel
2019-05-14 22:44:47 | INFO | Base_Logging | log_result | PASS: Verified the products Names coming in the request are correctly populated in the carousel
2019-05-14 22:44:47 | INFO | Base_Logging | ui_top_wear_page | Script duration: 50 seconds

2019-05-14 22:44:47 | DEBUG | Base_Logging | conditional_write | Unable to find recommended prices in top wear page - carousel
2019-05-14 22:44:47 | INFO | Base_Logging | log_result | PASS: Verified the products prices coming in the request are correctly populated in the carousel
2019-05-14 22:44:47 | INFO | Base_Logging | ui_top_wear_page | Script duration: 50 seconds

2019-05-14 22:44:47 | DEBUG | Base_Logging | conditional_write | Unable to find links in top wear page - carousel
2019-05-14 22:44:48 | INFO | Base_Logging | log_result | PASS: Verified the product's link coming in the request are correctly populated in the carousel
